分类: 📺央视频道, 名称: CCTV-1, 有效: 10, IPv4: 453, IPv6: 0, 最小延迟: 464 ms, 最高速率: 7.73 M/s, 平均速率: 4.76 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: ac3
分类: 📺央视频道, 名称: CCTV-2, 有效: 10, IPv4: 414, IPv6: 0, 最小延迟: 456 ms, 最高速率: 4.04 M/s, 平均速率: 2.40 M/s, 最高分辨率: 1920x1080, 平均帧率: 43.75, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-3, 有效: 10, IPv4: 402, IPv6: 0, 最小延迟: 477 ms, 最高速率: 7.81 M/s, 平均速率: 2.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-4, 有效: 10, IPv4: 446, IPv6: 0, 最小延迟: 417 ms, 最高速率: 7.93 M/s, 平均速率: 2.62 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-4美洲, 有效: 1, IPv4: 27, IPv6: 0, 最小延迟: 463 ms, 最高速率: 0.71 M/s, 平均速率: 0.71 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-4欧洲, 有效: 1, IPv4: 28, IPv6: 0, 最小延迟: 472 ms, 最高速率: 0.55 M/s, 平均速率: 0.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-5, 有效: 10, IPv4: 430, IPv6: 0, 最小延迟: 397 ms, 最高速率: 7.39 M/s, 平均速率: 4.16 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5+, 有效: 10, IPv4: 276, IPv6: 0, 最小延迟: 505 ms, 最高速率: 7.98 M/s, 平均速率: 3.99 M/s, 最高分辨率: 1920x1080, 平均帧率: 42.86, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-6, 有效: 10, IPv4: 401, IPv6: 0, 最小延迟: 495 ms, 最高速率: 7.66 M/s, 平均速率: 4.32 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-7, 有效: 10, IPv4: 385, IPv6: 0, 最小延迟: 299 ms, 最高速率: 7.74 M/s, 平均速率: 3.82 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-8, 有效: 10, IPv4: 396, IPv6: 0, 最小延迟: 469 ms, 最高速率: 7.75 M/s, 平均速率: 4.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-9, 有效: 10, IPv4: 403, IPv6: 0, 最小延迟: 518 ms, 最高速率: 7.61 M/s, 平均速率: 5.17 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-10, 有效: 10, IPv4: 398, IPv6: 0, 最小延迟: 565 ms, 最高速率: 8.16 M/s, 平均速率: 4.15 M/s, 最高分辨率: 1920x1080, 平均帧率: 46.43, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-11, 有效: 10, IPv4: 314, IPv6: 0, 最小延迟: 476 ms, 最高速率: 6.57 M/s, 平均速率: 3.29 M/s, 最高分辨率: 1920x1080, 平均帧率: 46.43, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-12, 有效: 10, IPv4: 357, IPv6: 0, 最小延迟: 419 ms, 最高速率: 7.34 M/s, 平均速率: 2.33 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-13, 有效: 10, IPv4: 327, IPv6: 0, 最小延迟: 421 ms, 最高速率: 8.24 M/s, 平均速率: 4.15 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-14, 有效: 10, IPv4: 346, IPv6: 0, 最小延迟: 464 ms, 最高速率: 7.07 M/s, 平均速率: 3.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-15, 有效: 10, IPv4: 321, IPv6: 0, 最小延迟: 480 ms, 最高速率: 6.71 M/s, 平均速率: 3.30 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-16, 有效: 7, IPv4: 159, IPv6: 0, 最小延迟: 103 ms, 最高速率: 7.48 M/s, 平均速率: 4.28 M/s, 最高分辨率: 3840x2160, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-17, 有效: 10, IPv4: 241, IPv6: 0, 最小延迟: 465 ms, 最高速率: 7.54 M/s, 平均速率: 4.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: ac3
分类: 📺央视频道, 名称: CETV-1, 有效: 4, IPv4: 69, IPv6: 0, 最小延迟: 440 ms, 最高速率: 8.42 M/s, 平均速率: 2.98 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CETV-3, 有效: 4, IPv4: 4, IPv6: 0, 最小延迟: 503 ms, 最高速率: 5.26 M/s, 平均速率: 5.23 M/s, 最高分辨率: 720x576, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CETV-2, 有效: 2, IPv4: 38, IPv6: 0, 最小延迟: 393 ms, 最高速率: 1.67 M/s, 平均速率: 0.99 M/s, 最高分辨率: 720x576, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CETV-4, 有效: 2, IPv4: 51, IPv6: 0, 最小延迟: 357 ms, 最高速率: 1.51 M/s, 平均速率: 0.91 M/s, 最高分辨率: 720x576, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-8K, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CGTN阿语, 有效: 2, IPv4: 3, IPv6: 0, 最小延迟: 1453 ms, 最高速率: 5.18 M/s, 平均速率: 3.80 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-4K, 有效: 5, IPv4: 34, IPv6: 0, 最小延迟: 99 ms, 最高速率: 5.83 M/s, 平均速率: 5.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CGTN俄语, 有效: 4, IPv4: 33, IPv6: 0, 最小延迟: 464 ms, 最高速率: 3.68 M/s, 平均速率: 1.89 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CGTN法语, 有效: 1, IPv4: 40, IPv6: 0, 最小延迟: 158 ms, 最高速率: 20.28 M/s, 平均速率: 20.28 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CGTN西语, 有效: 1, IPv4: 2, IPv6: 0, 最小延迟: 2381 ms, 最高速率: 3.40 M/s, 平均速率: 3.40 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CGTN纪录, 有效: 1, IPv4: 32, IPv6: 0, 最小延迟: 435 ms, 最高速率: 10.12 M/s, 平均速率: 10.12 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CGTN英语, 有效: 2, IPv4: 51, IPv6: 0, 最小延迟: 454 ms, 最高速率: 8.83 M/s, 平均速率: 4.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 10, IPv4: 355, IPv6: 0, 最小延迟: 51 ms, 最高速率: 21.53 M/s, 平均速率: 5.39 M/s, 最高分辨率: 3840x2160, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 10, IPv4: 336, IPv6: 0, 最小延迟: 661 ms, 最高速率: 1.51 M/s, 平均速率: 0.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.52, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 7, IPv4: 334, IPv6: 0, 最小延迟: 456 ms, 最高速率: 1.19 M/s, 平均速率: 0.86 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.18, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 东方卫视, 有效: 10, IPv4: 316, IPv6: 0, 最小延迟: 244 ms, 最高速率: 7.71 M/s, 平均速率: 2.43 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.29, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 北京卫视, 有效: 10, IPv4: 358, IPv6: 0, 最小延迟: 18 ms, 最高速率: 6.45 M/s, 平均速率: 2.22 M/s, 最高分辨率: 3840x2160, 平均帧率: 44.17, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 10, IPv4: 294, IPv6: 0, 最小延迟: 321 ms, 最高速率: 4.24 M/s, 平均速率: 1.24 M/s, 最高分辨率: 1920x1080, 平均帧率: 42.11, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 10, IPv4: 294, IPv6: 0, 最小延迟: 424 ms, 最高速率: 7.33 M/s, 平均速率: 1.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 东南卫视, 有效: 5, IPv4: 273, IPv6: 0, 最小延迟: 351 ms, 最高速率: 1.59 M/s, 平均速率: 0.79 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 4, IPv4: 162, IPv6: 0, 最小延迟: 370 ms, 最高速率: 1.68 M/s, 平均速率: 1.11 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 广东卫视, 有效: 7, IPv4: 345, IPv6: 0, 最小延迟: 371 ms, 最高速率: 6.69 M/s, 平均速率: 2.01 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 广西卫视, 有效: 10, IPv4: 259, IPv6: 0, 最小延迟: 341 ms, 最高速率: 7.51 M/s, 平均速率: 1.30 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 8, IPv4: 279, IPv6: 0, 最小延迟: 357 ms, 最高速率: 1.79 M/s, 平均速率: 0.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.77, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 海南卫视, 有效: 5, IPv4: 178, IPv6: 0, 最小延迟: 1079 ms, 最高速率: 2.63 M/s, 平均速率: 0.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 河北卫视, 有效: 3, IPv4: 250, IPv6: 0, 最小延迟: 461 ms, 最高速率: 1.15 M/s, 平均速率: 0.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 河南卫视, 有效: 5, IPv4: 284, IPv6: 0, 最小延迟: 90 ms, 最高速率: 17.89 M/s, 平均速率: 4.63 M/s, 最高分辨率: 1920x1080, 平均帧率: 47.22, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 7, IPv4: 274, IPv6: 0, 最小延迟: 414 ms, 最高速率: 2.05 M/s, 平均速率: 0.90 M/s, 最高分辨率: 1920x1080, 平均帧率: 39.29, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 7, IPv4: 321, IPv6: 0, 最小延迟: 420 ms, 最高速率: 6.60 M/s, 平均速率: 1.89 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 10, IPv4: 243, IPv6: 0, 最小延迟: 473 ms, 最高速率: 0.67 M/s, 平均速率: 0.46 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 江西卫视, 有效: 7, IPv4: 284, IPv6: 0, 最小延迟: 473 ms, 最高速率: 1.34 M/s, 平均速率: 0.78 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 6, IPv4: 295, IPv6: 0, 最小延迟: 348 ms, 最高速率: 1.70 M/s, 平均速率: 1.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.91, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 6, IPv4: 119, IPv6: 0, 最小延迟: 468 ms, 最高速率: 7.96 M/s, 平均速率: 4.29 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.56, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 7, IPv4: 154, IPv6: 0, 最小延迟: 356 ms, 最高速率: 7.57 M/s, 平均速率: 4.49 M/s, 最高分辨率: 1920x1080, 平均帧率: 46.43, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 青海卫视, 有效: 7, IPv4: 191, IPv6: 0, 最小延迟: 350 ms, 最高速率: 9.11 M/s, 平均速率: 3.80 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 山东卫视, 有效: 8, IPv4: 291, IPv6: 0, 最小延迟: 464 ms, 最高速率: 7.39 M/s, 平均速率: 1.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.14, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 山西卫视, 有效: 10, IPv4: 67, IPv6: 0, 最小延迟: 565 ms, 最高速率: 1.36 M/s, 平均速率: 0.47 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 8, IPv4: 79, IPv6: 0, 最小延迟: 345 ms, 最高速率: 6.94 M/s, 平均速率: 1.38 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.91, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 10, IPv4: 304, IPv6: 0, 最小延迟: 355 ms, 最高速率: 7.97 M/s, 平均速率: 1.78 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 四川卫视, 有效: 9, IPv4: 281, IPv6: 0, 最小延迟: 402 ms, 最高速率: 8.28 M/s, 平均速率: 3.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 天津卫视, 有效: 7, IPv4: 313, IPv6: 0, 最小延迟: 359 ms, 最高速率: 1.66 M/s, 平均速率: 0.76 M/s, 最高分辨率: 1920x1080, 平均帧率: 42.31, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 5, IPv4: 116, IPv6: 0, 最小延迟: 535 ms, 最高速率: 6.88 M/s, 平均速率: 4.34 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
